part_number,package_title
C84367,SOD-123_L2.8-W1.8-LS3.7-RD
C15849,C0603
C5204054,R2512
C21117,C0603
C1613,C0603
C23162,R0603
C4190,R0603
C5182461,C0805
C64879,SMA_L4.4-W2.8-LS5.4-RD
C133715,SMC_L6.9-W5.9-LS7.9-BI-1
C181835,SOD-123_L2.8-W1.8-LS3.7-RD
C175287,R2512
C78809,SMB_L4.6-W3.6-LS5.3-BI
C3655509,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR
C14663,C0603
C31966,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0
C441975,R0805
C13585,C1206
C698873,SMA_L4.4-W2.8-LS5.4-R-RD
C113970,SMA_L4.4-W2.6-LS5.0-BI
C2653623,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-TL
C52730979,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7
C5224211,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR
C17667,R0805
C23196,R0603
C21190,R0603
