Comment,Designator,Footprint,LCSC Part #
,JP5,1X06_LOCK,
,TVS4,SOD323-R,C840638
,TVS5,SOD323-R,C840638
,TVS6,SOD323-R,C840638
1A 40V,D2,SOD123FL,C8598
1EDN8511BXUSA1,U2,SOT95P280X145-6N-7-V,C3655509
1K,R16 R20,0603-RES,C21190
1n,C11,1206,C3859218
1uF,C19,0603-CAP,C15849
2A,D1,SMA-DIODE,C698873
2K,R14 R31,0603-RES,C22975
2N7002K,Q6,SOT23-3,C14498;C547263;C5224211;C54347659
3R6,R3 R4,0603-RES,C445783
4K3,R9,0603-RES,C23159
4K7,R2 R7 R8 R22 R28,0603-RES,C23162
6n8,C9 C10,1206,C2182121
10n,C6 C7 C8,1206,C2261646
10u,C14 C15 C16 C17,EIA3216-KIT,C13585
15V,TVS3,SOD-323,C2987151
15n,C1 C5,1206,C3858208
22K,R12 R32,0603-RES,C31850
22n,C2 C3 C4,1206,C3862155
24K,R13,0603-RES,C23352
33u,L1,IND_PA4343.103NLT,C2453886
36V,TVS1 TVS2,SMA,C134984
51K,R15 R19,0603-RES,C23196
56K,R18 R30,0603-RES,C23206
100K,R17 R21,0603-RES,C25803
100n,C18 C20 C21 C22 C23 C24 C25 C26,0603-CAP,C14663
100,R1 R10 R11 R26 R29,0805,C441975
470,R5 R6 R23 R24 R25 R27,0603-RES,C23179
AMS1117-5.0,IC2,SOT223,C6187
AP53781,U4,QFN3030-16,C52730979
ES1J,D3,SMA-DIODE,C64879
FAN-CONN-X4-CONN-X4,FAN1,FAN-CONN-X4,
G3404,Q7,SOT23-3,C14498;C547263;C96615
LED,LED1,LED_LTST-S220KRKT,C284935
LM74810QDRRRQ1,U3,DRR0012E-MFG,C3215601
SM15T150CA,D4,SMC,C133715
