Comment,Designator,Footprint,Asm,Mfg Part #,LCSC Part #
"","JP4","1X02_LONGPADS","DNP-TOP-TH","",""
"","JP6","1X04_LOCK","DNP-TOP-TH","",""
"","JP5","1X06_LOCK","TOP-TH","",""
"","SJ6","SJ_3","DNP-BOTTOM-SMD","",""
"","SJ7","SJ_3","DNP-BOTTOM-SMD","",""
"","TVS4","SOD323-R","BOTTOM-SMD","","C840638"
"","TVS5","SOD323-R","BOTTOM-SMD","","C840638"
"","TVS6","SOD323-R","BOTTOM-SMD","","C840638"
"","SW1","SWITCH-SLW-864574-5A-RA-N-D","DNP-TOP-TH","SLW-864574-5A-RA-N-D",""
"1A 40V","D2","SOD123FL","BOTTOM-SMD","","C8598"
"1EDN8511BXUSA1","U2","SOT95P280X145-6N-7-V","BOTTOM-SMD","","C3655509"
"1K","R16 R20","0603-RES","BOTTOM-SMD","","C21190"
"1n","C11","1206","BOTTOM-SMD","GCM31C5C3A102FX03L","C3859218"
"1uF","C19","0603-CAP","BOTTOM-SMD","","C15849"
"2A","D1","SMA-DIODE","BOTTOM-SMD","VSSAF5N50;SL36A","C698873"
"2K","R14 R32","0603-RES","BOTTOM-SMD","","C22975"
"2N7002K","Q6","SOT23-3","BOTTOM-SMD","2N7002K;SSM3K388R,LF","C5224211;C54347659"
"3R6","R3 R4","0603-RES","BOTTOM-SMD","","C445783"
"4K3","R9","0603-RES","BOTTOM-SMD","","C23159"
"4K7","R2 R7 R8 R22 R28","0603-RES","BOTTOM-SMD","","C23162"
"6n8","C9 C10","1206","BOTTOM-SMD","C1206C682JCGACAUTO","C2182121"
"6u2","L2","IND-KOOLMU-2W","DNP-TOP-MIX","",""
"10n","C6 C7 C8","1206","BOTTOM-SMD","GRM31B5C2E103JWA1L","C2261646"
"10u","C14 C17","EIA3216-KIT","BOTTOM-SMD","MLASU31LBB5106KTNA01;GRT31CR61H106KE01K","C13585"
"10u","C15 C16","EIA3216-KIT","BOTTOM-SMD","TAJA106K016TNJ;T491A106K016AT","C13585"
"11u5","L5","IND-KOOLMU","DNP-TOP-TH","",""
