Designator,Mid X,Mid Y,Layer,Rotation
C1,46.00,64.50,Bottom,270.0
C2,36.10,37.30,Bottom,270.0
C3,33.60,37.30,Bottom,270.0
C4,31.10,37.30,Bottom,270.0
C5,28.60,37.30,Bottom,270.0
C6,59.30,27.30,Bottom,0.0
C7,59.30,29.80,Bottom,0.0
C8,59.30,24.80,Bottom,0.0
C9,69.00,27.30,Bottom,180.0
C10,103.80,36.00,Bottom,0.0
C11,103.80,33.50,Bottom,0.0
C14,46.00,55.60,Bottom,270.0
C15,59.90,62.40,Bottom,0.0
C16,65.00,55.70,Bottom,90.0
C17,18.00, 4.53,Bottom,180.0
C18,60.30,66.60,Bottom,0.0
C19,60.30,64.60,Bottom,0.0
C20, 8.30,53.40,Bottom,180.0
C21,21.10,53.04,Bottom,180.0
C22, 7.90,32.30,Bottom,180.0
C23,77.90,51.90,Bottom,270.0
C24,19.60,49.00,Bottom,0.0
C25,23.90,55.10,Bottom,90.0
C26,23.90,51.90,Bottom,90.0
D1,53.70,61.60,Bottom,0.0
D2,70.20,57.30,Bottom,0.0
D3,37.50,58.00,Bottom,270.0
D4,32.00,58.00,Bottom,270.0
FAN1,22.30, 5.80,Top,180.0
IC2,59.00,56.50,Bottom,90.0
JP5, 2.20,20.40,Top,270.0
L1,33.00,56.00,Top,0.0
LED1,110.80,42.20,Bottom,90.0
Q6,22.00,39.90,Bottom,0.0
Q7,27.80, 2.90,Bottom,270.0
R1,64.00,68.30,Bottom,0.0
R2,64.00,66.20,Bottom,0.0
R3,55.80,68.10,Bottom,0.0
R4,55.80,70.20,Bottom,0.0
R5,108.40,50.90,Bottom,270.0
R6,110.40,50.90,Bottom,270.0
R7,22.00,37.20,Bottom,180.0
R8,22.00,33.00,Bottom,180.0
R9,13.40,34.90,Bottom,270.0
R10,10.70,34.10,Bottom,180.0
R11,10.70,36.10,Bottom,0.0
R12,22.80,49.00,Bottom,0.0
R13,12.40,23.00,Bottom,0.0
R14, 9.00,21.30,Bottom,0.0
R15,16.40,27.30,Bottom,270.0
R16,16.40,23.90,Bottom,270.0
R17,21.20,27.30,Bottom,270.0
R18,21.20,23.90,Bottom,270.0
R19,18.80,27.30,Bottom,270.0
R20,18.80,23.90,Bottom,270.0
R21,73.50,49.10,Bottom,0.0
R22,76.00,51.90,Bottom,90.0
R23,107.20,56.90,Bottom,180.0
R24,107.10,59.50,Bottom,180.0
R25,97.20,49.50,Bottom,180.0
R26,93.10,67.40,Bottom,90.0
R27,28.80, 6.40,Bottom,90.0
R28,28.80, 9.90,Bottom,90.0
R29,21.50,56.00,Bottom,180.0
R30,16.80,59.30,Bottom,0.0
R31,20.00,59.30,Bottom,180.0
R32,20.00,61.20,Bottom,180.0
TVS1, 6.00,50.50,Bottom,0.0
TVS2, 8.30,39.40,Bottom,0.0
TVS3,22.00,35.20,Bottom,0.0
TVS4,104.80,55.80,Bottom,270.0
TVS5,104.70,60.60,Bottom,90.0
TVS6,94.60,48.40,Bottom,270.0
U2,60.00,69.50,Bottom,0.0
U3,17.30,54.20,Bottom,180.0
U4,13.00,29.80,Bottom,270.0
