Comment,Designator,Footprint,Asm,Mfg Part #,LCSC Part #
"","JP4","1X06_LOCK","DNP-TOP-TH","",""
"","JP5","1X06_LOCK","TOP-TH","",""
"","SJ1","SJ_2S-NO","DNP-BOTTOM-SMD","",""
"","SJ3","SJ_2S-NO","DNP-BOTTOM-SMD","",""
"","SJ2","SJ_2S-NO","DNP-TOP-SMD","",""
"","SJ4","SJ_3","DNP-BOTTOM-SMD","",""
"","SJ5","SJ_3","DNP-BOTTOM-SMD","",""
"","D11","SMA-DIODE","BOTTOM-SMD","","C698873"
"","SW1","SW_1-1825027-1","DNP-TOP-TH","MJTP1236D;TL1105JAF160R1RBLK",""
"","T1","XFORMER-K16X8X6-1:14:14","DNP-TOP-TH","",""
"0R1","R1 R2 R3","1206","BOTTOM-SMD","KDV12DR100ET;VMK-R033-1.0-U","C188071"
"1EDN8511BXUSA1","U2","SOT95P280X145-6N-7-V","BOTTOM-SMD","","C3655509"
"1K","R5 R8 R41","0603-RES","BOTTOM-SMD","","C21190"
"1K","VR2 VR3","TRIM_35WR1KLFTR_V3","DNP-TOP-SMD","TC33X-2-102E",""
"1N4148W","D7","SOD123FL","BOTTOM-SMD","","C84367"
"1uF","C34 C36 C46","0603-CAP","BOTTOM-SMD","","C15849"
"2A","D10","SMA-DIODE","BOTTOM-SMD","VSSAF5N50;SL36A","C698873"
"2A 60V","D13","SOD123FL","BOTTOM-SMD","STPS2L60ZFY","C53340922"
"2K2","R9 R11 R22 R24 R27 R40 R50 R51","0603-RES","BOTTOM-SMD","","C4190"
"2N7002K","Q8","SOT23-3","BOTTOM-SMD","2N7002K;SSM3K388R,LF","C5224211;C54347659"
"3K","R48 R54","0603-RES","BOTTOM-SMD","","C4211"
"3R6","R16 R17","1206","BOTTOM-SMD","","C6301221"
"3V3 R-78K3.3","IC2","TO220-BUCK-3.3V","DNP-TOP-TH","",""
"3V6","D12 D14","SOD-323","BOTTOM-SMD","ESDLC3V3D3B-TP;CDSOD323-T03SC;SD03LCC","C840638"
"3n3","C8 C41 C58","0603-CAP","BOTTOM-SMD","","C1613"
"4K3","R30","0603-RES","BOTTOM-SMD","","C23159"
"4K7","R15 R18 R28 R29 R33 R35 R36 R38 R39 R42 R43 R44","0603-RES","BOTTOM-SMD","","C23162"
"4u7 IHLP2525CZ","L2","IND_IHLP-2525CZ_VIS-M","BOTTOM-SMD","IHLP2525CZER4R7M11","C845027"
"5K","VR4","TRIM_35WR1KLFTR_V2","DNP-TOP-SMD","TC33X-2-502",""
"8A 20x5mm","F1","FUSE_5MM","DNP-TOP-TH","Keystone 3518P",""
"9uH","L3 L7","IND_K16X8X6_X2","DNP-TOP-TH","",""
"10K","VR1","TRIM_35WR1KLFTR_V2","DNP-TOP-SMD","TC33X-2-103E",""
"10K/~3950","THERM1 THERM2","1X02-2MM","DNP-TOP-TH","BN35-3T103FB-100",""
"10p","C55 C56","0603-CAP","BOTTOM-SMD","","C1634"
"10pF 500V","C33","0805","BOTTOM-SMD","QCCT102Q100J1GV001E","C6629873"
"10u","C57","1206","BOTTOM-SMD","","C13585"
"10u","C45","EIA3216","BOTTOM-SMD","TAJA106K016TNJ;T491A106K016AT","C13585"
