Designator,Mid X,Mid Y,Layer,Rotation
C1,34.40,57.60,Bottom,270.0
C5,29.50,61.50,Bottom,180.0
C7,44.20,62.70,Bottom,0.0
C8,48.60,62.80,Bottom,90.0
C9,89.30,58.90,Bottom,270.0
C10,87.30,58.90,Bottom,270.0
C11,85.30,58.90,Bottom,270.0
C12,83.30,58.90,Bottom,270.0
C13,89.10,48.50,Bottom,0.0
C14,97.00,39.70,Bottom,180.0
C15,89.10,40.50,Bottom,0.0
C16,89.10,42.50,Bottom,0.0
C17,89.10,44.50,Bottom,0.0
C18,89.10,46.50,Bottom,0.0
C20,97.00,32.40,Bottom,180.0
C21,97.00,22.70,Bottom,180.0
C22,89.10,23.50,Bottom,0.0
C23,89.10,25.50,Bottom,0.0
C24,89.10,27.50,Bottom,0.0
C25,89.10,29.50,Bottom,0.0
C26,89.10,31.50,Bottom,0.0
C27,85.90,16.70,Bottom,90.0
C28,88.00,16.70,Bottom,90.0
C29,90.00,16.70,Bottom,90.0
C30,84.40,14.30,Bottom,0.0
C31,96.70,15.20,Bottom,180.0
C33,90.60, 6.10,Bottom,180.0
C34,101.90, 8.60,Bottom,90.0
C35,49.90,70.30,Bottom,180.0
C36,54.50,70.30,Bottom,0.0
C37,58.40,60.90,Bottom,0.0
C38,58.40,62.50,Bottom,0.0
C39,62.70,62.50,Bottom,180.0
C40,62.70,64.20,Bottom,180.0
C41,47.00,13.20,Bottom,270.0
C42,74.70,29.40,Bottom,180.0
C43,32.30,41.20,Bottom,0.0
C44,40.00,40.00,Bottom,180.0
C45,33.90,35.20,Bottom,180.0
C46,66.10,33.30,Bottom,90.0
C47,50.90,19.10,Bottom,270.0
C48,34.60,25.00,Bottom,90.0
C49,62.60,32.60,Bottom,180.0
C50, 8.30,53.40,Bottom,180.0
C51,21.10,53.04,Bottom,180.0
C52,19.60,49.00,Bottom,0.0
C53,43.00,13.00,Bottom,180.0
C54,45.20,23.60,Bottom,180.0
C55,42.90,25.00,Bottom,90.0
C56,36.70,25.00,Bottom,270.0
C57,53.50, 7.50,Bottom,0.0
C58,44.70,55.90,Bottom,270.0
C59,50.40,24.10,Bottom,0.0
C60,55.80,22.40,Bottom,180.0
C61,25.80,24.10,Bottom,90.0
C62,23.90,55.10,Bottom,90.0
C63,23.90,51.90,Bottom,90.0
C64, 7.90,32.30,Bottom,180.0
D1,38.00,51.00,Bottom,0.0
D2,53.10,52.40,Bottom,90.0
D3,46.60,57.40,Bottom,270.0
D4,89.00,63.00,Bottom,0.0
D5,98.50, 3.20,Bottom,270.0
D6,98.50, 9.00,Bottom,270.0
D7,96.20, 3.20,Bottom,90.0
D8,96.20, 9.00,Bottom,90.0
D9,80.00,66.80,Bottom,90.0
D10,39.00,44.00,Bottom,0.0
D11,32.50,28.50,Bottom,180.0
D12,35.90, 2.60,Bottom,180.0
D13,31.90,55.30,Bottom,180.0
D14,55.00,12.00,Bottom,180.0
FAN1,23.00,27.00,Top,180.0
JP5, 2.20,20.40,Top,270.0
L2,55.00,41.40,Bottom,180.0
Q3,69.00,24.80,Bottom,180.0
Q8,22.00,41.50,Bottom,0.0
Q9,20.70,19.00,Bottom,0.0
R1,63.00,38.20,Bottom,180.0
R2,63.00,40.60,Bottom,180.0
R3,63.00,43.00,Bottom,180.0
R4,48.80,51.60,Bottom,270.0
R5,53.10,56.20,Bottom,270.0
R6,36.50,65.30,Bottom,0.0
R7,44.20,60.70,Bottom,180.0
R8,46.70,64.50,Bottom,270.0
R9,46.60,54.10,Bottom,90.0
R10,99.40, 6.10,Bottom,180.0
R11,103.90, 8.90,Bottom,270.0
R12,77.00,67.00,Bottom,270.0
R14,44.90,68.90,Bottom,180.0
R15,47.30,69.20,Bottom,270.0
R16,55.00,67.80,Bottom,180.0
R17,55.00,65.40,Bottom,180.0
R18,49.10,13.20,Bottom,270.0
R19,72.00,26.60,Bottom,90.0
R21,67.00,17.00,Bottom,180.0
R22,72.00,32.00,Bottom,270.0
R23,67.10,38.20,Bottom,0.0
R24,53.00,19.10,Bottom,90.0
R25,62.60,30.60,Bottom,0.0
R26,30.40,25.00,Bottom,90.0
R27,32.50,25.00,Bottom,270.0
R28,22.00,38.80,Bottom,180.0
R29,22.00,34.80,Bottom,180.0
R30,13.40,34.90,Bottom,270.0
R31,10.80,34.50,Bottom,180.0
R32,10.80,36.50,Bottom,0.0
R33,19.10, 6.20,Bottom,180.0
R34,22.80,49.00,Bottom,0.0
R35,47.50, 4.20,Bottom,180.0
R36,48.50, 6.40,Bottom,0.0
R38,29.00,64.80,Bottom,0.0
R39,25.70,64.80,Bottom,0.0
R40,25.80,39.40,Bottom,90.0
R41,30.90, 5.70,Bottom,90.0
R42,67.10,40.20,Bottom,180.0
R43,70.40,40.20,Bottom,180.0
R44,20.70,16.00,Bottom,0.0
R45,23.90,17.10,Bottom,90.0
R47,15.10,21.60,Bottom,270.0
R48,12.10,22.50,Bottom,0.0
